poids(preliminary,1) = 3.204662511748219
poids(program,1404) = 1.1030059219382364
poids(matrix,1405) = 2.362677707158105
poids(triangulation,1405) = 4.5056925074122
poids(integer,1405) = 2.949390006644913
poids(arithmetic,1405) = 2.6135979047217197
poids(algorithm,1405) = 1.4286881806188498
poids(287,1405) = 4.5056925074122
poids(f1,1405) = 3.359564471733962
poids(solution,1406) = 2.285584419372145
poids(simultaneous,1406) = 3.125481265700594
poids(linear,1406) = 2.3984825377643317
poids(diophantine,1406) = 4.0285712526925375
poids(equations,1406) = 2.4803866421474297
poids(algorithm,1406) = 1.4286881806188498
poids(288,1406) = 4.204662511748219
poids(f4,1406) = 3.391749155105363
poids(confidence,1407) = 4.204662511748219
poids(interval,1407) = 3.0285712526925375
poids(ratio,1407) = 3.275243586033926
poids(algorithm,1407) = 1.4286881806188498
poids(289,1407) = 4.5056925074122
poids(g1,1407) = 3.9036325160842376
poids(eschenbach,1408) = 1.87642312685305
poids(drum,1408) = 3.226938906459371
poids(scheme,1408) = 2.4217690507399827
poids(prime,1408) = 1.2592910929066516
poids(function,1408) = 1.1522363471852468
poids(operating,1408) = 1.190996112765419
poids(real,1408) = 1.380855318593158
poids(time,1408) = 1.2306234333608943
poids(perform,1408) = 1.4935533975924862
poids(accesses,1408) = 1.2989686443881703
poids(quickly,1408) = 1.3325743084247428
poids(usual,1408) = 1.2876965655945343
poids(means,1408) = 1.1939312497466095
poids(increasing,1408) = 1.2729341515847852
poids(capacity,1408) = 1.303313907670572
poids(incorporate,1408) = 1.4005828139685272
poids(engineering,1408) = 1.2729341515847852
poids(hardware,1408) = 1.2107685714837915
poids(improvements,1408) = 1.2755828139685272
poids(paper,1408) = 1.1084004063071953
poids(problem,1408) = 1.2600774139909454
poids(attacked,1408) = 1.4005828139685272
poids(changing,1408) = 1.2989686443881703
poids(rather,1408) = 1.21968806005075
poids(modifying,1408) = 1.3508403128845226
poids(manner,1408) = 1.5001356322730737
poids(operates,1408) = 1.2912001560445647
poids(outset,1408) = 1.4005828139685272
poids(given,1408) = 1.1188247573542351
poids(functional,1408) = 1.2704087283237493
poids(definition,1408) = 1.2280564087545767
poids(simple,1408) = 1.1633794275572222
poids(design,1408) = 1.3200958064215844
poids(introduced,1408) = 1.2303668344663283
poids(enormously,1408) = 1.438211563426525
poids(increases,1408) = 1.2844054482542409
poids(rate,1408) = 1.2592910929066516
poids(accessing,1408) = 1.3409426571285694
poids(drums,1408) = 1.8011656279370547
poids(defined,1408) = 1.194537812595911
poids(shown,1408) = 1.1516795545069656
poids(enable,1408) = 1.3189312497466095
poids(system,1408) = 1.1001927488215502
poids(job,1408) = 1.2704087283237493
poids(employing,1408) = 1.308037477781747
poids(fewer,1408) = 1.308037477781747
poids(less,1408) = 1.2237111454721752
poids(expensive,1408) = 1.3508403128845226
poids(suggested,1408) = 1.2206662272397446
poids(although,1408) = 1.2206662272397446
poids(specific,1408) = 1.4607336689326564
poids(use,1408) = 1.240406115765481
poids(method,1408) = 1.1143284875482127
poids(underlying,1408) = 1.5626050005772236
poids(general,1408) = 1.2869394151029365
poids(applicability,1408) = 1.5824003120891297
poids(question,1408) = 1.2500678161365368
poids(efficacy,1408) = 1.438211563426525
poids(raised,1408) = 1.378571406586567
poids(deal,1408) = 1.2876965655945343
poids(standard,1408) = 1.178313907670572
poids(efficiency,1408) = 1.2099522130889218
poids(developed,1408) = 1.1626965655945345
poids(light,1408) = 1.2989686443881703
poids(realistic,1408) = 1.325325315052532
poids(circumstances,1408) = 1.3189312497466095
poids(modelled,1408) = 1.438211563426525
poids(permits,1408) = 1.224765291414283
poids(analyzed,1408) = 1.2226770797264264
poids(queueing,1408) = 1.2989686443881703
poids(theory,1408) = 1.2291993311845604
poids(thus,1408) = 1.224765291414283
poids(one,1408) = 1.1282106955568811
poids(enabled,1408) = 1.4005828139685272
poids(ascertain,1408) = 1.4005828139685272
poids(whether,1408) = 1.2379540645105296
poids(efficient,1408) = 1.172323463630924
poids(enough,1408) = 1.2844054482542409
poids(application,1408) = 1.1769734244966004
poids(whereas,1408) = 1.313211563426525
poids(analysis,1408) = 1.1505828139685272
poids(methods,1408) = 1.1563025002886118
poids(nebula,1409) = 1.87642312685305
poids(digital,1409) = 1.7528462537061
poids(computer,1409) = 1.729718176282831
poids(using,1409) = 1.5323917126734912
poids(20,1409) = 1.637862499493219
poids(mc,1409) = 3.6292693805591503
poids(glass,1409) = 2.7528462537061
poids(delay,1409) = 2.451816258042119
poids(line,1409) = 1.4062197287828522
poids(memory,1409) = 2.3658134210109636
poids(oregon,1409) = 1.87642312685305
poids(state,1409) = 1.4655599577315033
poids(university,1409) = 1.4680560129581535
poids(designed,1409) = 1.387862499493219
poids(constructed,1409) = 1.4873475016612283
poids(medium,1409) = 1.5824003120891297
poids(speed,1409) = 1.4283252044784867
poids(serial,1409) = 1.5688108965084815
poids(lines,1409) = 1.503582703394482
poids(circulating,1409) = 1.87642312685305
poids(22,1409) = 2.451816258042119
poids(design,1409) = 1.9602874192647528
poids(objectives,1409) = 1.5979372887763408
poids(originally,1409) = 1.6651486168494858
poids(conceived,1409) = 1.7259081290210594
poids(special,1409) = 1.3993018721333876
poids(seminar,1409) = 1.87642312685305
poids(1,1409) = 1.3338576980043106
poids(research,1409) = 1.867420247885028
poids(project,1409) = 1.5269381246850406
poids(2,1409) = 1.3539468489932005
poids(usable,1409) = 1.7571428131731344
poids(educational,1409) = 1.5824003120891297
poids(machine,1409) = 1.6648006241782594
poids(3,1409) = 1.407657811005125
poids(easily,1409) = 1.463119998409214
poids(modifiable,1409) = 1.87642312685305
poids(hardware,1409) = 1.8430742859351656
poids(basic,1409) = 1.3753427834073895
poids(systems,1409) = 1.2508163468569418
poids(unusual,1409) = 1.650650630105064
poids(arrangement,1409) = 1.637862499493219
poids(information,1409) = 1.2850511306303252
poids(within,1409) = 1.3915433136983955
poids(allows,1409) = 1.4136085396732812
poids(simple,1409) = 1.3267588551144445
poids(interface,1409) = 1.5979372887763408
poids(340,1409) = 1.7571428131731344
poids(kc,1409) = 1.87642312685305
poids(arithmetic,1409) = 2.2101984285412897
poids(unit,1409) = 2.081634913294997
poids(results,1409) = 1.2928096890653173
poids(effective,1409) = 1.9412216085071499
poids(zero,1409) = 1.606627815341144
poids(latency,1409) = 1.7259081290210594
poids(time,1409) = 1.2306234333608943
poids(provides,1409) = 1.3953533053375797
poids(possibilities,1409) = 1.7016806257690453
poids(associative,1409) = 1.637862499493219
poids(command,1409) = 1.5408174566474986
poids(structure,1409) = 1.3220521407995736
poids(similar,1409) = 1.4265879894896547
poids(large,1409) = 1.3156636146814764
poids(parallel,1409) = 1.4283252044784867
poids(machines,1409) = 1.4759081290210594
poids(uses,1409) = 1.410592411822936
poids(flip,1409) = 1.8011656279370547
poids(flop,1409) = 1.87642312685305
poids(control,1409) = 1.3462796440515876
poids(registers,1409) = 1.616074955563494
poids(throughout,1409) = 1.650650630105064
poids(development,1409) = 1.3854761700166611
poids(aimed,1409) = 1.7571428131731344
poids(toward,1409) = 1.5001356322730737
poids(concept,1409) = 1.441332454479489
poids(easy,1409) = 1.4732271626731162
poids(modification,1409) = 1.5226797898603455
poids(elaborate,1409) = 1.681885314257139
poids(console,1409) = 1.606627815341144
poids(controls,1409) = 1.650650630105064
poids(man,1409) = 1.5146336190174952
poids(interaction,1409) = 1.5408174566474986
poids(low,1409) = 1.490406115765481
poids(cost,1409) = 1.3979696637571208
poids(interarrival,1410) = 3.8045540059297602
poids(statistics,1410) = 1.4366946425356562
poids(time,1410) = 1.9224937334435772
poids(sharing,1410) = 1.6798050133713254
poids(systems,1410) = 1.2006530774855535
poids(optimization,1410) = 1.3744448103665228
poids(shared,1410) = 1.4117068952139962
poids(system,1410) = 1.3206167962289603
poids(performance,1410) = 1.302893286343941
poids(requires,1410) = 1.3412703915917237
poids(description,1410) = 1.6476807128958875
poids(stochastic,1410) = 1.4853022522729151
poids(processes,1410) = 1.3284739294583487
poids(governing,1410) = 1.6057142505385076
poids(user,1410) = 1.579515062430291
poids(inputs,1410) = 1.4783498310210725
poids(program,1410) = 1.1854106594888256
poids(activity,1410) = 1.4287929342789214
poids(paper,1410) = 1.1734406500915124
poids(provides,1410) = 1.3162826442700637
poids(statistical,1410) = 1.3785817301384928
poids(input,1410) = 1.5566996620421454
poids(process,1410) = 1.5635129977616575
poids(sdc,1410) = 1.640932502349644
poids(arpa,1410) = 1.5613445006152364
poids(general,1410) = 1.2295515320823494
poids(purpose,1410) = 1.2952617459453981
poids(tss,1410) = 1.70113850148244
poids(assumed,1410) = 1.4326539653179988
poids(stationary,1410) = 1.5613445006152364
poids(defined,1410) = 1.3112605001534574
poids(distribution,1410) = 2.011689143122199
poids(data,1410) = 1.5646158658960663
poids(obtained,1410) = 1.6225210003069148
poids(appear,1410) = 1.9438257886935848
poids(justify,1410) = 2.211428501077015
poids(satisfactorily,1410) = 1.640932502349644
poids(common,1410) = 1.3426601635827893
poids(assumption,1410) = 1.9100974344135704
poids(times,1410) = 1.3724479661852025
poids(serially,1410) = 1.640932502349644
poids(independent,1410) = 1.3484529027698526
poids(except,1410) = 1.4719128943467923
poids(rough,1410) = 1.5455082514057112
poids(approximation,1410) = 1.7658511601542806
poids(usual,1410) = 1.460314504951255
poids(exponential,1410) = 1.3807265032168474
poids(much,1410) = 1.3469680991540112
poids(satisfactory,1410) = 1.4550487172067852
poids(biphase,1410) = 1.70113850148244
poids(triphase,1410) = 1.70113850148244
poids(hyperexponential,1410) = 1.6057142505385076
poids(comparison,1411) = 1.5782801652566851
poids(several,1411) = 1.8623366020054948
poids(algorithms,1411) = 1.8225672672504674
poids(computation,1411) = 2.45261406392878
poids(means,1411) = 1.5171499993242916
poids(standard,1411) = 1.9510075075763833
poids(deviations,1411) = 2.068220837249406
poids(correlation,1411) = 2.9357550107228247
poids(coefficients,1411) = 1.6240746839442044
poids(basic,1411) = 1.5004570445431857
poids(statistics,1411) = 2.455648808452187
poids(compared,1411) = 1.5435437480068332
poids(performance,1411) = 1.5048221439065683
poids(systematically,1411) = 1.8675341734734188
poids(generated,1411) = 1.6111982164921608
poids(test,1411) = 1.5342008401400855
poids(data,1411) = 1.9410264431601107
poids(calculated,1411) = 1.776533749452173
poids(mean,1411) = 2.4051683324934414
poids(deviation,1411) = 1.886864822465981
poids(coefficient,1411) = 1.8352308358040665
poids(statistic,1411) = 2.9357550107228247
poids(algorithm,1411) = 1.1428960602062832
poids(included,1411) = 1.568783985986206
poids(usual,1411) = 3.301572524756275
poids(computing,1411) = 2.484503208342262
poids(formulas,1411) = 2.9616244630619244
poids(correction,1411) = 2.442179884393329
poids(due,1411) = 1.7210899421966646
poids(accumulated,1411) = 2.8711483353841207
poids(error,1411) = 1.9658584373838182
poids(term,1411) = 2.469775007832146
poids(recursive,1411) = 1.6207466103086707
poids(current,1411) = 1.6111982164921608
poids(value,1411) = 1.562049523956777
poids(also,1411) = 1.3800681741737668
poids(evaluated,1411) = 1.7423129688197903
poids(double,1411) = 1.8352308358040665
poids(precision,1411) = 1.6538748210206413
poids(large,1411) = 1.4208848195753019
poids(errors,1411) = 1.568783985986206
poids(noted,1411) = 1.767190841585425
poids(calculation,1411) = 1.593805545937137
poids(using,1411) = 1.354927808448994
poids(reliable,1411) = 1.776533749452173
poids(technique,1411) = 1.408979635486457
poids(initial,1411) = 2.2839392738635933
poids(estimate,1411) = 2.4293097809297377
poids(use,1411) = 1.320541487687308
poids(eliminate,1411) = 1.776533749452173
poids(need,1411) = 1.5598725682371244
poids(making,1411) = 1.6914429144177374
poids(two,1411) = 1.35232872916904
poids(passes,1411) = 1.886864822465981
poids(suggested,1411) = 1.5884432726393187
poids(obtained,1411) = 1.5187675002557623
poids(subset,1411) = 1.6861781586899935
poids(banking,1412) = 3.0190475017950247
poids(information,1412) = 2.1402045225213007
poids(system,1412) = 1.6679516588103342
poids(concept,1412) = 1.5884432726393187
poids(large,1412) = 1.210442409787651
poids(commercial,1412) = 1.46778708384603
poids(banks,1412) = 1.9355741676920604
poids(progressed,1412) = 1.534110418624703
poids(point,1412) = 1.2516762188024417
poids(major,1412) = 1.2879235428380928
poids(accounting,1412) = 1.4545902095047594
poids(applications,1412) = 1.4907562506417502
poids(automated,1412) = 1.3750700003848157
poids(sophisticated,1412) = 1.3835954207927124
poids(usage,1412) = 1.335721802262988
poids(data,1412) = 1.6273509621067404
poids(processing,1412) = 1.5990982347494935
poids(equipment,1412) = 1.7210899421966646
poids(sought,1412) = 1.4839387526807062
poids(coupled,1412) = 1.4337670867367094
poids(availability,1412) = 1.4176154179020333
poids(well,1412) = 1.2377518768940958
poids(suited,1412) = 1.3750700003848157
poids(real,1412) = 1.5078070914575439
poids(time,1412) = 1.307497911147859
poids(direct,1412) = 1.6274810723381
poids(access,1412) = 1.568783985986206
poids(led,1412) = 1.4337670867367094
poids(development,1412) = 1.2569841133444408
poids(within,1412) = 1.5220577515978606
poids(central,1412) = 1.6969063864804605
poids(file,1412) = 1.7617106371863158
poids(base,1412) = 1.6458302611150684
poids(approach,1412) = 1.488099940751325
poids(toward,1412) = 1.3334237548487158
poids(serves,1412) = 1.4176154179020333
poids(two,1412) = 1.17616436458452
poids(fold,1412) = 1.5047618754487562
poids(purpose,1412) = 1.2460514549544983
poids(providing,1412) = 1.6914429144177374
poids(responses,1412) = 1.4434324112329904
poids(inquires,1412) = 1.5842820845687
poids(individual,1412) = 1.3512920831233604
poids(account,1412) = 2.1023312558741094
poids(stasus,1412) = 1.5842820845687
poids(complex,1412) = 1.2524110719532842
poids(combinations,1412) = 1.3542468776167658
poids(management,1412) = 1.3040752116727687
poids(use,1412) = 1.1602707438436541
poids(kinds,1412) = 1.4044185435607626
poids(draw,1412) = 1.5047618754487562
poids(upon,1412) = 1.2982815272962336
poids(common,1412) = 1.285550136318991
poids(store,1412) = 1.3229151305575342
poids(contained,1412) = 1.3792072643389877
poids(includes,1412) = 1.3191046500642836
poids(indexes,1412) = 1.4545902095047594
poids(facilitate,1412) = 1.3711564844098951
poids(cross,1412) = 1.850483332657625
poids(referencing,1412) = 1.9091804190095187
poids(relationships,1412) = 1.3512920831233604
poids(bank,1412) = 1.886864822465981
poids(customer,1412) = 1.4839387526807062
poids(may,1412) = 1.2015045528584447
poids(discerned,1412) = 1.5842820845687
poids(introducing,1412) = 1.4176154179020333
poids(gradual,1412) = 1.5842820845687
poids(conversion,1412) = 1.3025827378972812
poids(prudent,1412) = 1.534110418624703
poids(generally,1412) = 1.3430890793449968
poids(must,1412) = 1.2610288757989303
poids(interface,1412) = 1.3986248591842272
poids(computer,1412) = 1.1216196960471385
poids(already,1412) = 1.3835954207927124
poids(existing,1412) = 1.3103733051543354
poids(vision,1413) = 3.6292693805591503
poids(technology,1413) = 3.0743287432532127
poids(education,1413) = 1.4967946418835782
poids(educational,1413) = 2.1648006241782594
poids(currently,1413) = 1.5511656279370547
poids(quite,1413) = 1.5185821858133033
poids(fashionable,1413) = 1.87642312685305
poids(many,1413) = 1.3338576980043106
poids(branches,1413) = 1.7259081290210594
poids(aspects,1413) = 1.4516806257690453
poids(changes,1413) = 1.4732271626731162
poids(possible,1413) = 1.354833169184363
poids(next,1413) = 1.5185821858133033
poids(generation,1413) = 1.4151486168494858
poids(two,1413) = 1.26424654687678
poids(known,1413) = 1.4020163540304398
poids(ideas,1413) = 1.5226797898603455
poids(discoveries,1413) = 1.87642312685305
poids(inventions,1413) = 1.87642312685305
poids(unknown,1413) = 1.6651486168494858
poids(whether,1413) = 1.4759081290210594
poids(potential,1413) = 2.6079735035459555
poids(become,1413) = 1.5567347266148428
poids(actual,1413) = 1.5185821858133033
poids(time,1413) = 1.2306234333608943
poids(scale,1413) = 1.4873475016612283
poids(ignorance,1413) = 2.7528462537061
poids(stems,1413) = 1.8011656279370547
poids(largely,1413) = 1.650650630105064
poids(social,1413) = 2.232149911126988
poids(response,1413) = 2.1023312558741094
poids(technological,1413) = 1.62642312685305
poids(change,1413) = 1.5567347266148428
poids(object,1413) = 1.4538741068459216
poids(paper,1413) = 1.2168008126143905
poids(present,1413) = 1.40339947618043
poids(raise,1413) = 1.7259081290210594
poids(questions,1413) = 1.5185821858133033
poids(modes,1413) = 1.650650630105064
poids(adaptation,1413) = 1.7571428131731344
poids(likely,1413) = 1.6651486168494858
poids(evoked,1413) = 1.8011656279370547
poids(twelve,1414) = 3.8067225030761813
poids(row,1414) = 3.3296012483565187
poids(punched,1414) = 3.464299822253975
poids(card,1414) = 3.5514499979728753
poids(code,1414) = 2.5325646538125013
poids(information,1414) = 2.1402045225213007
poids(interchange,1414) = 3.090719159441382
poids(proposed,1414) = 2.3534041630291433
poids(american,1414) = 2.8929086506924646
poids(standard,1414) = 2.426511261364575
poids(automatic,1415) = 1.8785798933523852
poids(derivation,1415) = 1.460314504951255
poids(microsentences,1415) = 4.5056925074122
poids(decomposition,1415) = 1.4500840004617788
poids(long,1415) = 1.4057142505385074
poids(complex,1415) = 1.302893286343941
poids(english,1415) = 1.4001085058184588
poids(sentences,1415) = 2.3361633438756226
poids(shorter,1415) = 1.6057142505385076
poids(kernel,1415) = 1.5613445006152364
poids(like,1415) = 1.3807265032168474
poids(constituent,1415) = 1.6057142505385076
poids(often,1415) = 1.3579378327554803
poids(suggested,1415) = 1.3530659635835913
poids(avenue,1415) = 1.70113850148244
poids(toward,1415) = 1.4001085058184588
poids(conducting,1415) = 1.5807265032168476
poids(retrieval,1415) = 1.6499515660525637
poids(natural,1415) = 1.3685869351461253
poids(language,1415) = 1.204849975781979
poids(messages,1415) = 1.50113850148244
poids(explore,1415) = 1.5807265032168476
poids(prospects,1415) = 2.211428501077015
poids(step,1415) = 1.3898780013289826
poids(authors,1415) = 1.8733892850713123
poids(attempted,1415) = 1.5205205040840513
poids(1963,1415) = 1.4853022522729151
poids(prepare,1415) = 1.6057142505385076
poids(general,1415) = 1.2295515320823494
poids(program,1415) = 1.5562319784664767
poids(deriving,1415) = 1.510289999594575
poids(longer,1415) = 1.492859964450795
poids(syntactically,1415) = 1.5613445006152364
poids(analyzed,1415) = 1.356283327562282
poids(harvard,1415) = 1.5455082514057112
poids(multipath,1415) = 1.70113850148244
poids(analysis,1415) = 1.2409325023496438
poids(basic,1415) = 1.3002742267259115
poids(idea,1415) = 1.492859964450795
poids(extract,1415) = 1.5613445006152364
poids(subject,1415) = 1.3785817301384928
poids(verb,1415) = 1.6057142505385076
poids(object,1415) = 1.3630992854767374
poids(clause,1415) = 1.70113850148244
poids(reassemble,1415) = 1.70113850148244
poids(materials,1415) = 1.6057142505385076
poids(grammatical,1415) = 1.5321188934795886
poids(microsentence,1415) = 1.70113850148244
poids(described,1415) = 1.1809439223450904
poids(paper,1415) = 1.1734406500915124
poids(designed,1415) = 1.3102899995945751
poids(operate,1415) = 1.4287929342789214
poids(tree,1415) = 1.3296720021961863
poids(structure,1415) = 1.2576417126396588
poids(output,1415) = 1.3074419117716531
poids(analyzer,1415) = 1.492859964450795
poids(produced,1415) = 1.3974357135068625
poids(exhibited,1415) = 1.6057142505385076
poids(conclude,1415) = 1.5807265032168476
poids(quality,1415) = 1.4853022522729151
poids(achieved,1415) = 1.4117068952139962
poids(open,1415) = 1.4719128943467923
poids(immediate,1415) = 1.4659202496713037
poids(improving,1415) = 1.4550487172067852
poids(performance,1415) = 1.302893286343941
poids(message,1415) = 1.4719128943467923
poids(systems,1415) = 1.401306154971107
poids(may,1415) = 1.2418054634301339
poids(practical,1415) = 1.3359235409422747
poids(value,1415) = 1.3372297143740663
poids(man,1415) = 1.4117068952139962
poids(machine,1415) = 1.2659202496713038
poids(using,1415) = 1.2129566850693965
poids(human,1415) = 1.4028661627155854
poids(monitors,1415) = 1.5205205040840513
poids(select,1415) = 1.5321188934795886
poids(preferred,1415) = 1.5613445006152364
poids(syntactic,1415) = 1.394842718073989
poids(interpretation,1415) = 1.4853022522729151
poids(sentence,1415) = 1.4853022522729151
poids(fortran,1416) = 2.4193326767374517
poids(technique,1416) = 1.6134694532296856
poids(simplifying,1416) = 2.4033612515380907
poids(input,1416) = 1.6958745775526816
poids(report,1416) = 2.699512533428313
poids(generators,1416) = 3.359564471733962
poids(typical,1416) = 2.0216472547566218
poids(allow,1416) = 1.9464543253462323
poids(production,1416) = 2.0371643716266066
poids(standard,1416) = 1.7132556306822875
poids(forms,1416) = 3.143964671394607
poids(tabulating,1416) = 2.7528462537061
poids(magnetic,1416) = 2.0917366063391407
poids(tape,1416) = 1.899061165657132
poids(file,1416) = 1.7617106371863158
poids(extraction,1416) = 3.5514499979728753
poids(nonstandard,1416) = 2.451816258042119
poids(sets,1416) = 1.8866493737946157
poids(information,1416) = 2.1402045225213007
poids(suitable,1416) = 2.8722240518326134
poids(annotation,1416) = 2.7528462537061
poids(involves,1416) = 2.0627406328502973
poids(troublesome,1416) = 2.7528462537061
poids(design,1416) = 1.6401916128431686
poids(method,1416) = 1.4573139501928505
poids(involving,1416) = 1.9464543253462323
poids(calculation,1416) = 1.8907083189057055
poids(format,1416) = 2.007165406788964
poids(statements,1416) = 1.863770628514278
poids(combats,1416) = 2.7528462537061
poids(problem,1416) = 1.5201548279818908
poids(described,1416) = 1.4523598058627258
poids(economies,1417) = 4.0285712526925375
poids(scale,1417) = 2.949390006644913
poids(ibm,1417) = 1.7639844510616762
poids(system,1417) = 1.8015419905724008
poids(360,1417) = 2.9742135903699447
poids(cost,1417) = 1.7959393275142417
poids(functions,1417) = 1.6677153960086213
poids(among,1417) = 1.9167973247382413
poids(five,1417) = 1.9746950033224564
poids(models,1417) = 1.9412216085071499
poids(analyzed,1417) = 1.8907083189057055
poids(examinations,1417) = 2.3302972336989716
poids(instruction,1417) = 2.914627900385701
poids(times,1417) = 1.9311199154630063
poids(program,1417) = 1.463526648722064
poids(kernels,1417) = 2.5142856263462687
poids(typical,1417) = 2.0216472547566218
poids(mix,1417) = 2.275724998986438
poids(comparisons,1417) = 2.0627406328502973
poids(made,1417) = 1.6958745775526816
poids(data,1417) = 1.9410264431601107
poids(developed,1417) = 1.6507862623781375
poids(grosch,1417) = 2.6023312558741094
poids(law,1417) = 2.301301260210128
poids(seems,1417) = 2.137621793016963
poids(applicable,1417) = 1.9122256350183064
poids(much,1417) = 1.867420247885028
poids(sizable,1417) = 2.7528462537061
poids(unquestionably,1417) = 2.7528462537061
poids(present,1417) = 1.8067989523608599
poids(computing,1417) = 1.742251604171131
poids(equipment,1417) = 2.081634913294997
poids(examination,1418) = 3.275243586033926
poids(scheduling,1418) = 2.8067225030761813
poids(algorithm,1418) = 1.4286881806188498
poids(286,1418) = 4.204662511748219
poids(zh,1418) = 4.5056925074122
poids(chebyshev,1419) = 3.143964671394607
poids(quadrature,1419) = 3.0143308135779274
poids(algorithm,1419) = 1.4286881806188498
poids(279,1419) = 3.9036325160842376
poids(d1,1419) = 2.9742135903699447
poids(new,1420) = 1.7808258375075128
poids(uniform,1420) = 1.7084937552335313
poids(pseudorandom,1420) = 2.8183608380190375
poids(number,1420) = 1.676220542385285
poids(generator,1420) = 2.824451270036613
poids(multiplicative,1420) = 1.9355741676920604
poids(congruential,1420) = 1.9678775053614124
poids(discussed,1420) = 1.3538825704980413
poids(modulus,1420) = 2.9357550107228247
poids(largest,1420) = 1.9091804190095187
poids(prime,1420) = 2.382885828835475
poids(within,1420) = 1.5220577515978606
poids(accumulator,1420) = 2.1685641691374
poids(capacity,1420) = 1.8088370871215251
poids(multiplier,1420) = 2.1685641691374
poids(primitive,1420) = 1.7423129688197903
poids(root,1420) = 1.7025841662467207
poids(passes,1420) = 1.886864822465981
poids(usual,1420) = 1.767190841585425
poids(statistical,1420) = 1.6309695502308215
poids(tests,1420) = 1.6861781586899935
poids(addition,1420) = 1.5782801652566851
poids(least,1420) = 1.5665041778094375
poids(significant,1420) = 2.171669653604
poids(bits,1420) = 2.3621963396754957
poids(appear,1420) = 1.7865214905779871
poids(random,1420) = 1.5254245272326359
poids(property,1420) = 1.7025841662467207
poids(generators,1420) = 1.7865214905779871
poids(2,1420) = 1.471929131990934
poids(k,1420) = 1.6914429144177374
poids(possess,1420) = 1.9091804190095187
poids(contribution,1421) = 1.5321188934795886
poids(development,1421) = 1.308380936013329
poids(algol,1421) = 1.8452694966424863
poids(programming,1421) = 1.1948427180739891
poids(language,1421) = 2.0242498789098953
poids(similar,1421) = 1.3412703915917237
poids(many,1421) = 1.2670861584034485
poids(respects,1421) = 1.5455082514057112
poids(60,1421) = 1.6881450689605733
poids(incorporating,1421) = 1.4719128943467923
poids(large,1421) = 1.2525308917451812
poids(number,1421) = 1.2028661627155854
poids(improvements,1421) = 1.4409325023496438
poids(based,1421) = 1.2481749368805328
poids(six,1421) = 1.460314504951255
poids(years,1421) = 1.3744448103665228
poids(experience,1421) = 1.385181782159078
poids(described,1421) = 1.1809439223450904
poids(detail,1421) = 1.3724479661852025
poids(part,1421) = 1.9367259011572187
poids(consists,1421) = 1.37648864340286
poids(introduction,1421) = 1.4250962531401188
poids(new,1421) = 1.2342477512522538
poids(summary,1421) = 1.4659202496713037
poids(changes,1421) = 1.3785817301384928
poids(made,1421) = 1.2783498310210728
poids(together,1421) = 1.394842718073989
poids(discussion,1421) = 1.3667189298952964
poids(motives,1421) = 1.70113850148244
poids(behind,1421) = 1.5613445006152364
poids(visions,1421) = 1.70113850148244
poids(ii,1421) = 1.3613445006152363
poids(rigorous,1421) = 1.5613445006152364
poids(definition,1421) = 1.3648902540073227
poids(proposed,1421) = 1.5413616652116575
poids(iii,1421) = 1.4719128943467923
poids(describes,1421) = 1.3093302230182213
poids(set,1421) = 1.2338465547127342
poids(standard,1421) = 1.2853022522729152
poids(procedures,1421) = 1.2985710565414057
poids(used,1421) = 1.196649654781176
poids(including,1421) = 1.3499635303479418
poids(facilities,1421) = 1.3785817301384928
poids(input,1421) = 1.2783498310210728
poids(output,1421) = 1.3074419117716531
poids(eleven,1422) = 4.5056925074122
poids(sixteenths,1422) = 4.5056925074122
poids(inch,1422) = 3.9036325160842376
poids(perforated,1422) = 3.660594467397943
poids(paper,1422) = 1.8672032504575626
poids(tape,1422) = 2.798122331314264
poids(proposed,1422) = 2.3534041630291433
poids(american,1422) = 2.8929086506924646
poids(standard,1422) = 2.426511261364575
poids(simple,1423) = 1.4356784734859258
poids(algorithm,1423) = 1.2857921204125664
poids(computing,1423) = 1.247417201390377
poids(generalized,1423) = 2.2839392738635933
poids(inverse,1423) = 3.0743287432532127
poids(matrix,1423) = 1.9084518047720698
poids(important,1423) = 1.2689329841202865
poids(analysis,1423) = 1.4015541705827395
poids(provides,1423) = 1.2635688702250532
poids(extension,1423) = 1.5807548379497542
poids(concept,1423) = 1.2942216363196595
poids(applies,1423) = 1.4176154179020333
poids(matrices,1423) = 1.568783985986206
poids(also,1423) = 1.1900340870868833
poids(many,1423) = 1.2225717986695404
poids(applications,1423) = 1.245378125320875
poids(numerical,1423) = 1.2488092137845046
poids(widely,1423) = 1.4044185435607626
poids(used,1423) = 1.1638747123176467
poids(existing,1423) = 1.3103733051543354
poids(algorithms,1423) = 1.2056418168126168
poids(fairly,1423) = 1.4176154179020333
poids(complicated,1423) = 1.3835954207927124
poids(require,1423) = 1.3103733051543354
poids(considerable,1423) = 1.3835954207927124
poids(storage,1423) = 1.396574053985094
poids(space,1423) = 1.2569841133444408
poids(found,1423) = 1.2832520889047188
poids(conventional,1423) = 1.2982815272962336
poids(orthogonalization,1423) = 1.5842820845687
poids(method,1423) = 1.1524379833976168
poids(inverting,1423) = 1.534110418624703
poids(non,1423) = 1.6714436045259757
poids(singular,1423) = 1.9678775053614124
poids(gives,1423) = 2.0538762493700813
poids(little,1423) = 1.3457214572088687
poids(extra,1423) = 1.4434324112329904
poids(effort,1423) = 1.3484531932402302
