(preliminary,1) -> 3.204662511748219
(function,1371) -> 2.217890777481974
(algorithm,1371) -> 1.4286881806188498
(291,1371) -> 4.0285712526925375
(s14,1371) -> 3.183473212678281
(direct,1372) -> 2.8824432170142997
(search,1372) -> 2.6192017822397182
(algorithm,1372) -> 1.4286881806188498
(178,1372) -> 3.8067225030761813
(e4,1372) -> 3.359564471733962
(gamma,1373) -> 3.090719159441382
(function,1373) -> 2.217890777481974
(range,1373) -> 1.387498156669041
(1,1373) -> 1.2670861584034485
(2,1373) -> 1.2831574791945604
(reciprocal,1373) -> 1.5613445006152364
(real,1373) -> 1.3046842548745263
(argument,1373) -> 1.4853022522729151
(logarithm,1373) -> 1.4853022522729151
(algorithms,1373) -> 1.2467701801751403
(34,1373) -> 1.5807265032168476
(s14,1373) -> 3.183473212678281
(54,1373) -> 1.6057142505385076
(80,1373) -> 1.510289999594575
(221,1373) -> 1.6057142505385076
(291,1373) -> 1.6057142505385076
(evaluation,1374) -> 2.5814132213503185
(determinant,1374) -> 3.275243586033926
(algorithms,1374) -> 1.6169254504378505
(41,1374) -> 2.3302972336989716
(f3,1374) -> 3.9036325160842376
(269,1374) -> 2.6023312558741094
(function,1375) -> 2.217890777481974
(minimization,1375) -> 3.275243586033926
(algorithm,1375) -> 1.4286881806188498
(251,1375) -> 4.0285712526925375
(e4,1375) -> 3.359564471733962
(modified,1376) -> 2.815496427383686
(graeffee,1376) -> 4.5056925074122
(method,1376) -> 1.914627900385701
(algorithm,1376) -> 1.4286881806188498
(256,1376) -> 4.0285712526925375
(c2,1376) -> 3.5514499979728753
(pseudo,1377) -> 3.359564471733962
(random,1377) -> 2.576273581697907
(numbers,1377) -> 2.699512533428313
(algorithm,1377) -> 1.4286881806188498
(266,1377) -> 4.0285712526925375
(g5,1377) -> 3.275243586033926
(pseudo,1378) -> 3.359564471733962
(random,1378) -> 2.576273581697907
(numbers,1378) -> 2.699512533428313
(algorithm,1378) -> 1.4286881806188498
(266,1378) -> 4.0285712526925375
(g5,1378) -> 3.275243586033926
(final,1379) -> 1.2986741656344831
(solution,1379) -> 1.1836549170531636
(dangling,1379) -> 1.915617860499491
(else,1379) -> 3.5514499979728753
(algol,1379) -> 1.4025092841154696
(60,1379) -> 1.2457660960573476
(related,1379) -> 1.2674605788332305
(languages,1379) -> 1.1988213078721948
(problem,1379) -> 1.2972313302753662
(consists,1379) -> 1.2689204595734713
(class,1379) -> 1.2321255593044869
(potential,1379) -> 1.3062806673420866
(ambiguities,1379) -> 1.364492856853268
(like,1379) -> 1.2719475022977482
(conditional,1379) -> 1.636268258988392
(statements,1379) -> 1.9871664325877465
(whose,1379) -> 1.2646399990909796
(basic,1379) -> 1.4289631810370165
(form,1379) -> 1.2053580922380054
(b1,1379) -> 1.829609290309782
(b2,1379) -> 2.0016264306891998
(s1,1379) -> 3.5040660767230003
(s2,1379) -> 2.0016264306891998
(boolean,1379) -> 1.2877615447968467
(expressions,1379) -> 1.2363477369561606
(difficulty,1379) -> 1.3287960749651822
(lies,1379) -> 1.4009603575823115
(whether,1379) -> 1.2719475022977482
(attach,1379) -> 1.5008132153445999
(first,1379) -> 1.1964798198453135
(second,1379) -> 1.2337801125258891
(one,1379) -> 1.1465265092078643
(existing,1379) -> 1.2660342615608589
(solutions,1379) -> 1.2556698805396287
(either,1379) -> 1.5162064294503375
(ambiguous,1379) -> 1.3896487510040794
(unnecessarily,1379) -> 1.414804645154891
(restrictive,1379) -> 1.4326530360989338
(let,1379) -> 1.4326530360989338
(sand,1379) -> 1.5008132153445999
(define,1379) -> 1.3062806673420866
(closed,1379) -> 2.3312007133465817
(statement,1379) -> 2.806644998920139
(open,1379) -> 1.6741612776382748
(thus,1379) -> 1.2568746187591806
(unconditional,1379) -> 1.5008132153445999
(defined,1379) -> 1.222328928681041
(syntax,1379) -> 1.7532162058882856
(equations,1379) -> 1.634451418063184
(way,1379) -> 1.234624235327392
(preserve,1379) -> 1.3896487510040794
(openness,1379) -> 1.5008132153445999
(closure,1379) -> 1.414804645154891
(case,1379) -> 1.225916174478617
(must,1379) -> 1.223739036399083
(always,1379) -> 1.318134129494196
(preceded,1379) -> 1.414804645154891
(shown,1379) -> 1.173348062293675
(unambiguous,1379) -> 1.4009603575823115
(may,1379) -> 1.1727181881643813
(change,1379) -> 1.318134129494196
(types,1379) -> 1.2354800015687044
(required,1379) -> 1.2027618109624931
(within,1379) -> 1.223739036399083
(would,1379) -> 1.2735182714836715
(lead,1379) -> 1.3214885717584135
(ambiguity,1379) -> 1.364492856853268
(unnecessary,1379) -> 1.3800849239139918
(restriction,1379) -> 1.3416784507293376
(simula,1380) -> 4.204662511748219
(algol,1380) -> 1.9391883296027623
(based,1380) -> 1.4136248948008878
(simulation,1380) -> 2.0612524366856553
(language,1380) -> 2.0242498789098953
(paper,1380) -> 1.2890677501525207
(introduction,1380) -> 1.7084937552335313
(programming,1380) -> 1.3247378634566482
(designed,1380) -> 1.5171499993242916
(provide,1380) -> 1.537865968240573
(systems,1380) -> 1.6688435916185116
(analyst,1380) -> 1.9355741676920604
(unified,1380) -> 1.9091804190095187
(concepts,1380) -> 2.1987482208761757
(facilitate,1380) -> 1.7423129688197903
(concise,1380) -> 1.9091804190095187
(description,1380) -> 2.0794678548264787
(discrete,1380) -> 1.7146548904648689
(event,1380) -> 1.6914429144177374
(system,1380) -> 1.2671806635241336
(also,1380) -> 1.3800681741737668
(serves,1380) -> 1.8352308358040665
(source,1380) -> 1.602240834358727
(program,1380) -> 1.3090177658147093
(extension,1380) -> 1.5807548379497542
(60,1380) -> 1.573454224133811
(important,1380) -> 1.537865968240573
(new,1380) -> 1.3904129187537564
(quasi,1380) -> 1.9678775053614124
(parallel,1380) -> 1.571100272637982
(processing,1380) -> 1.399398823166329
(impact,1381) -> 1.4500840004617788
(computers,1381) -> 2.150005316532831
(undergraduate,1381) -> 2.00227700296488
(mathematics,1381) -> 1.8575858685578428
(curriculum,1381) -> 2.3502520013853365
(use,1381) -> 1.7692995704495396
(permit,1381) -> 2.2646514992440974
(widespread,1381) -> 1.50113850148244
(application,1381) -> 1.2831574791945604
(mathematical,1381) -> 2.6731835947059635
(ideas,1381) -> 2.254431495664829
(requiring,1381) -> 1.4409325023496438
(computation,1381) -> 1.5810456255715122
(science,1381) -> 1.3596244662628527
(technology,1381) -> 1.4148657486506426
(extremely,1381) -> 1.50113850148244
(significant,1381) -> 1.3515008960812
(understanding,1381) -> 1.9001680009235575
(current,1381) -> 1.733437859790593
(society,1381) -> 1.510289999594575
(student,1381) -> 1.4001085058184588
(interest,1381) -> 1.385181782159078
(development,1381) -> 1.308380936013329
(intense,1381) -> 1.5807265032168476
(properly,1381) -> 1.5205205040840513
(utilized,1381) -> 1.4783498310210725
(yield,1381) -> 1.4783498310210725
(much,1381) -> 1.3469680991540112
(better,1381) -> 1.4001085058184588
(concepts,1381) -> 1.7192489325257054
(well,1381) -> 1.2853022522729152
(programming,1381) -> 1.389685436147978
(logical,1381) -> 1.3596244662628527
(structure,1381) -> 1.2576417126396588
(introduced,1381) -> 1.3685869351461253
(many,1381) -> 1.2670861584034485
(fields,1381) -> 1.4550487172067852
(present,1381) -> 1.322719580944344
(paper,1381) -> 1.1734406500915124
(suggests,1381) -> 1.4215504997480326
(portion,1381) -> 1.4453877812918743
(preparation,1381) -> 1.4550487172067852
(persons,1381) -> 1.640932502349644
(professional,1381) -> 1.4453877812918743
(mathematicians,1381) -> 1.640932502349644
(modified,1381) -> 1.3630992854767374
(include,1381) -> 1.3546597495178463
(extensions,1381) -> 1.4215504997480326
(clarifications,1381) -> 1.70113850148244
(possible,1381) -> 1.2838665353474905
(early,1381) -> 1.4366946425356562
(introduction,1381) -> 1.8501925062802376
(desirable,1381) -> 1.4326539653179988
(continuing,1381) -> 1.5455082514057112
(automatic,1381) -> 1.292859964450795
(illustrate,1381) -> 1.4215504997480326
(clarify,1381) -> 1.5455082514057112
(following,1381) -> 1.4028661627155854
(calculus,1381) -> 1.4783498310210725
(equation,1381) -> 1.3499635303479418
(stage,1381) -> 1.4659202496713037
(intensive,1381) -> 1.640932502349644
(numerical,1381) -> 1.2985710565414057
(analysis,1381) -> 1.2409325023496438
(added,1381) -> 1.4287929342789214
(addition,1381) -> 1.3469680991540112
(providing,1381) -> 1.4148657486506426
(competence,1381) -> 1.70113850148244
(mostly,1381) -> 1.6057142505385076
(used,1381) -> 1.196649654781176
(computing,1381) -> 1.2969006416684525
(techniques,1381) -> 1.2481749368805328
(would,1381) -> 1.3829255800771403
(sophisticated,1381) -> 1.460314504951255
(utilization,1381) -> 1.4215504997480326
(advanced,1381) -> 1.4453877812918743
(associated,1381) -> 1.3469680991540112
(complex,1381) -> 1.302893286343941
(variables,1381) -> 1.3142388112337264
(transform,1381) -> 1.4550487172067852
(theories,1381) -> 1.5613445006152364
(desired,1382) -> 1.7025841662467207
(computer,1382) -> 1.243239392094277
(impact,1382) -> 1.7501400007696313
(undergraduate,1382) -> 2.670461671608133
(mathematics,1382) -> 1.7146548904648689
(three,1382) -> 1.4854914949140061
(matters,1382) -> 2.0095237508975123
(relating,1382) -> 1.7146548904648689
(theme,1382) -> 2.068220837249406
(symposium,1382) -> 1.9355741676920604
(discussed,1382) -> 1.3538825704980413
(author,1382) -> 1.7501400007696313
(examines,1382) -> 1.8214332740846584
(projections,1382) -> 1.850483332657625
(concerning,1382) -> 1.7025841662467207
(supply,1382) -> 1.9091804190095187
(demand,1382) -> 1.7501400007696313
(mathematicians,1382) -> 4.204662511748219
(united,1382) -> 1.8352308358040665
(states,1382) -> 1.7423129688197903
(mid,1382) -> 2.068220837249406
(1970s,1382) -> 2.1685641691374
(comments,1382) -> 1.6668475096974313
(briefly,1382) -> 1.6538748210206413
(factors,1382) -> 1.6497966688816375
(may,1382) -> 1.8060182114337793
(influence,1382) -> 1.9678775053614124
(professional,1382) -> 1.7423129688197903
(activities,1382) -> 1.6914429144177374
(applied,1382) -> 1.5018975024707333
(next,1382) -> 1.6914429144177374
(several,1382) -> 1.4311683010027474
(years,1382) -> 1.6240746839442044
(discusses,1382) -> 1.6345441720280791
(broad,1382) -> 1.8352308358040665
(terms,1382) -> 1.5033524376048835
(information,1382) -> 1.3800681741737668
(relate,1382) -> 1.8352308358040665
(training,1382) -> 1.7865214905779871
(implications,1383) -> 2.0538762493700813
(digital,1383) -> 2.5056925074122
(computer,1383) -> 1.729718176282831
(education,1383) -> 1.9935892837671563
(mathematical,1383) -> 2.6731835947059635
(sciences,1383) -> 3.5056925074122
(profoundly,1383) -> 2.7528462537061
(altered,1383) -> 2.4033612515380907
(definition,1383) -> 1.9122256350183064
(interesting,1383) -> 2.1252100011544472
(mathematics,1383) -> 3.143964671394607
(importance,1383) -> 2.0719823356973035
(applied,1383) -> 1.7528462537061
(logic,1383) -> 2.007165406788964
(human,1383) -> 2.007165406788964
(affairs,1383) -> 2.7528462537061
(changed,1383) -> 2.301301260210128
(existence,1383) -> 2.1252100011544472
(logical,1383) -> 1.899061165657132
(engine,1383) -> 2.7528462537061
(result,1383) -> 1.8749088258698543
(one,1383) -> 1.5128427822275246
(longer,1383) -> 2.232149911126988
(think,1383) -> 2.451816258042119
(terms,1383) -> 2.5100573128146504
(single,1383) -> 1.821184823645872
(discipline,1383) -> 2.363770628514278
(complex,1383) -> 1.7572332158598525
(mathematics,1384) -> 1.7146548904648689
(undergraduate,1384) -> 3.5056925074122
(computer,1384) -> 1.729718176282831
(scientists,1384) -> 1.8675341734734188
(mathematical,1384) -> 2.6731835947059635
(requirements,1384) -> 2.660594467397943
(program,1384) -> 1.3090177658147093
(science,1384) -> 2.1987482208761757
(subject,1384) -> 1.6309695502308215
(debate,1384) -> 2.1685641691374
(association,1384) -> 1.8675341734734188
(computing,1384) -> 1.494834402780754
(machinery,1384) -> 1.9091804190095187
(curriculum,1384) -> 1.7501400007696313
(committee,1384) -> 3.183473212678281
(however,1384) -> 1.5665041778094375
(believes,1384) -> 3.3371283382748
(essentially,1384) -> 1.7501400007696313
(content,1384) -> 1.7423129688197903
(physical,1384) -> 1.7084937552335313
(sciences,1384) -> 1.8352308358040665
(programs,1384) -> 1.3641309144436493
(assure,1384) -> 1.9678775053614124
(student,1384) -> 1.6668475096974313
(broad,1384) -> 1.8352308358040665
(background,1384) -> 1.776533749452173
(enable,1384) -> 1.850483332657625
(take,1384) -> 1.6861781586899935
(wide,1384) -> 1.6914429144177374
(variety,1384) -> 1.596563054592467
(courses,1384) -> 1.7146548904648689
(scientific,1384) -> 2.4293097809297377
(disciplines,1384) -> 1.9091804190095187
(concern,1384) -> 1.9355741676920604
(develop,1384) -> 1.767190841585425
(solid,1384) -> 1.8352308358040665
(approach,1384) -> 1.488099940751325
(computer,1385) -> 1.729718176282831
(technology,1385) -> 2.244597245951928
(communist,1385) -> 3.10341550444732
(china,1385) -> 3.10341550444732
(1956,1385) -> 1.640932502349644
(1965,1385) -> 3.32290601286739
(based,1385) -> 1.2481749368805328
(information,1385) -> 1.2280409045042602
(translations,1385) -> 1.5613445006152364
(chinese,1385) -> 2.7421795096505424
(news,1385) -> 1.640932502349644
(items,1385) -> 1.394842718073989
(periodical,1385) -> 1.70113850148244
(literature,1385) -> 1.4250962531401188
(period,1385) -> 1.460314504951255
(reviewed,1385) -> 1.4250962531401188
(following,1385) -> 1.4028661627155854
(headings,1385) -> 1.640932502349644
(1,1385) -> 1.2670861584034485
(initial,1385) -> 1.385181782159078
(planning,1385) -> 1.4550487172067852
(organization,1385) -> 1.3372297143740663
(educational,1385) -> 1.4659202496713037
(aspects,1385) -> 1.3613445006152363
(automation,1385) -> 2.0410410081681025
(2,1385) -> 1.2831574791945604
(machine,1385) -> 1.2659202496713038
(development,1385) -> 1.308380936013329
(progress,1385) -> 1.4719128943467923
(two,1385) -> 1.2113972375014241
(major,1385) -> 1.3455082514057113
(specific,1385) -> 1.3685869351461253
(machines,1385) -> 2.1421795096505427
(1958,1385) -> 2.281865004699288
(59,1385) -> 1.6057142505385076
(soviet,1385) -> 2.122689001230473
(aid,1385) -> 1.774996313338082
(vacuum,1385) -> 1.70113850148244
(1960,1385) -> 1.50113850148244
(64,1385) -> 1.492859964450795
(due,1385) -> 1.4326539653179988
(withdrawal,1385) -> 1.70113850148244
(presumably,1385) -> 1.70113850148244
(made,1385) -> 1.5566996620421454
(present,1385) -> 1.322719580944344
(3,1385) -> 1.3261262488041
(applications,1385) -> 1.2944537503850502
(4,1385) -> 1.37648864340286
(trend,1385) -> 1.5807265032168476
(control,1385) -> 1.27702371524127
(production,1385) -> 1.4148657486506426
(processes,1385) -> 1.3284739294583487
(rather,1385) -> 1.3515008960812
(data,1385) -> 1.1882052886320222
(processing,1385) -> 1.2396392938997973
(5,1385) -> 1.4028661627155854
(yun,1385) -> 1.70113850148244
(ch,1385) -> 1.70113850148244
(ou,1385) -> 1.70113850148244
(hsueh,1385) -> 1.70113850148244
(science,1385) -> 1.3596244662628527
(operation,1385) -> 1.330886831738625
(programming,1385) -> 1.389685436147978
(campaign,1385) -> 1.70113850148244
(60,1385) -> 1.3440725344802866
(attempt,1385) -> 1.4086589019026488
(bring,1385) -> 1.5807265032168476
(concepts,1385) -> 1.3596244662628527
(linear,1385) -> 1.2796965075528663
(ordinary,1385) -> 1.385181782159078
(workers,1385) -> 1.5613445006152364
(peasants,1385) -> 1.70113850148244
(adjudged,1385) -> 1.70113850148244
(marginal,1385) -> 1.640932502349644
(capability,1385) -> 1.4287929342789214
(probably,1385) -> 1.6057142505385076
(binary,1385) -> 1.330886831738625
(nature,1385) -> 1.4057142505385074
(however,1385) -> 1.3399025066856627
(turning,1385) -> 1.6057142505385076
(point,1385) -> 1.30201146256293
(may,1385) -> 1.2418054634301339
(reached,1385) -> 1.5613445006152364
(mid,1385) -> 1.640932502349644
(symbolic,1386) -> 2.1555453464772336
(factoring,1386) -> 2.8171427516155223
(polynomials,1386) -> 1.3704959987273713
(several,1386) -> 1.517401961203297
(variables,1386) -> 1.6284776224674529
(algorithm,1386) -> 1.4286881806188498
(finding,1386) -> 1.3596244662628527
(factors,1386) -> 1.3898780013289826
(multi,1386) -> 1.4366946425356562
(variate,1386) -> 1.640932502349644
(polynomial,1386) -> 1.989016006588559
(integer,1386) -> 1.3898780013289826
(coefficients,1386) -> 1.3744448103665228
(presented,1386) -> 1.1849535063473162
(extension,1386) -> 1.3484529027698526
(technique,1386) -> 1.2453877812918743
(used,1386) -> 1.393299309562352
(kronecker,1386) -> 2.40227700296488
(proof,1386) -> 1.3829255800771403
(prime,1386) -> 1.4148657486506426
(may,1386) -> 1.2418054634301339
(found,1386) -> 1.3399025066856627
(finite,1386) -> 1.3724479661852025
(number,1386) -> 1.2028661627155854
(steps,1386) -> 1.4250962531401188
(consists,1386) -> 1.37648864340286
(single,1386) -> 1.3284739294583487
(variable,1386) -> 1.3412703915917237
(instances,1386) -> 1.5807265032168476
(given,1386) -> 1.1901196117667763
(method,1386) -> 1.18292558007714
(introducing,1386) -> 1.50113850148244
(remaining,1386) -> 1.5321188934795886
(interpolation,1386) -> 1.4057142505385074
(techniques,1386) -> 1.2481749368805328
(implementing,1386) -> 1.4326539653179988
(examples,1386) -> 1.292859964450795
(discussed,1386) -> 1.2123295422988247
(promises,1386) -> 1.6057142505385076
(sufficient,1386) -> 1.394842718073989
(power,1386) -> 1.3785817301384928
(efficiently,1386) -> 1.4215504997480326
(online,1386) -> 1.4453877812918743
(system,1386) -> 1.1603083981144802
(mathematics,1386) -> 1.4287929342789214
(solution,1387) -> 1.6427922096860725
(systems,1387) -> 2.0032653874277675
(polynomial,1387) -> 1.8241800054904658
(equations,1387) -> 2.1102899816105722
(elimination,1387) -> 2.0917366063391407
(procedure,1387) -> 1.3360811262943062
(described,1387) -> 1.226179902931363
(williams,1387) -> 1.87642312685305
(coded,1387) -> 1.5226797898603455
(lisp,1387) -> 1.4967946418835782
(formac,1387) -> 1.650650630105064
(used,1387) -> 1.24581206847647
(solving,1387) -> 1.4538741068459216
(found,1387) -> 1.8497562667141565
(method,1387) -> 1.4573139501928505
(effective,1387) -> 1.470610804253575
(case,1387) -> 1.3953533053375797
(small,1387) -> 1.390302458815508
(yields,1387) -> 1.5688108965084815
(solutions,1387) -> 1.4474222909443502
(without,1387) -> 1.3979696637571208
(need,1387) -> 1.4199044261778435
(initial,1387) -> 1.4814772276988475
(estimates,1387) -> 1.5359911678486518
(appears,1387) -> 1.5226797898603455
(appropriate,1387) -> 1.4873475016612283
(however,1387) -> 1.4248781333570784
(large,1387) -> 1.3156636146814764
(equation,1387) -> 1.4374544129349272
(due,1387) -> 1.5408174566474986
(explosive,1387) -> 1.87642312685305
(growth,1387) -> 1.62642312685305
(intermediate,1387) -> 1.5753931311890688
(hazards,1387) -> 1.87642312685305
(arise,1387) -> 1.5753931311890688
(coefficients,1387) -> 1.4680560129581535
(truncated,1387) -> 1.7259081290210594
(comparison,1387) -> 1.433710123942514
(made,1387) -> 1.3479372887763408
(difficulties,1387) -> 1.5688108965084815
(problems,1387) -> 1.2893469110910099
(non,1387) -> 1.503582703394482
(numerical,1387) -> 1.373213820676757
(mathematics,1387) -> 1.5359911678486518
(symbolic,1387) -> 1.4814772276988475
(integration,1387) -> 1.421537142967583
(simplification,1387) -> 1.62642312685305
(automast,1388) -> 2.1685641691374
(automatic,1388) -> 1.488099940751325
(mathematical,1388) -> 1.557727864901988
(analysis,1388) -> 1.4015541705827395
(symbolic,1388) -> 2.2839392738635933
(translation,1388) -> 1.6538748210206413
(procedure,1388) -> 1.8962163367848168
(numerically,1388) -> 1.776533749452173
(solving,1388) -> 1.6051654757945621
(systems,1388) -> 1.3344217958092557
(ordinary,1388) -> 1.6419696369317967
(differential,1388) -> 1.6081504233455375
(equation,1388) -> 1.5832725505799028
(shown,1388) -> 1.4044788120185747
(also,1388) -> 1.3800681741737668
(generate,1388) -> 1.6969063864804605
(solutions,1388) -> 1.596563054592467
(based,1388) -> 1.4136248948008878
(finite,1388) -> 1.6207466103086707
(taylor,1388) -> 1.886864822465981
(series,1388) -> 1.562049523956777
(expansion,1388) -> 1.8088370871215251
(includes,1388) -> 1.638209300128567
(estimate,1388) -> 1.7146548904648689
(error,1388) -> 1.482929218691909
(final,1388) -> 2.393812772960921
(result,1388) -> 1.5832725505799028
(computer,1388) -> 1.243239392094277
(program,1388) -> 1.3090177658147093
(described,1388) -> 1.301573203908484
(reads,1388) -> 2.068220837249406
(system,1388) -> 1.2671806635241336
(equations,1388) -> 1.9869244280982863
(generates,1388) -> 1.8088370871215251
(expansions,1388) -> 3.9036325160842376
(dependent,1388) -> 1.7423129688197903
(variables,1388) -> 1.5237313520562108
(determined,1388) -> 1.7210899421966646
(symbolically,1388) -> 2.0095237508975123
(hence,1388) -> 1.8214332740846584
(non,1388) -> 1.6714436045259757
(numeric,1388) -> 1.7972497183684544
(parameters,1388) -> 2.1821991650594876
(original,1388) -> 1.6580711967899817
(carried,1388) -> 1.7865214905779871
(automatically,1388) -> 1.6497966688816375
(thus,1388) -> 1.5993741104380879
(exact,1388) -> 1.7025841662467207
(influence,1388) -> 1.9678775053614124
(problem,1388) -> 1.3467698853212606
(solution,1388) -> 1.428528139790715
(easily,1388) -> 1.6174933312122854
(displayed,1388) -> 1.767190841585425
(programmer,1389) -> 1.6081504233455375
(description,1389) -> 1.5397339274132393
(l,1389) -> 3.3296012483565187
(6,1389) -> 2.4846259376395805
(bell,1389) -> 1.9091804190095187
(telephone,1389) -> 1.8214332740846584
(laboratories,1389) -> 1.9678775053614124
(low,1389) -> 1.6538748210206413
(linked,1389) -> 2.4846259376395805
(list,1389) -> 2.5279689021233525
(language,1389) -> 1.6828332526065966
(pronounced,1389) -> 2.1685641691374
(six,1389) -> 1.767190841585425
(new,1389) -> 1.3904129187537564
(programming,1389) -> 1.3247378634566482
(structure,1389) -> 1.4294028543994313
(manipulations,1389) -> 1.886864822465981
(contains,1389) -> 1.7084937552335313
(many,1389) -> 1.4451435973390807
(facilities,1389) -> 1.6309695502308215
(underlie,1389) -> 2.1685641691374
(processors,1389) -> 1.6580711967899817
(ipl,1389) -> 1.9678775053614124
(lisp,1389) -> 1.6623928558447707
(comit,1389) -> 1.9355741676920604
(ad,1389) -> 1.886864822465981
(snobol,1389) -> 1.886864822465981
(permits,1389) -> 1.5993741104380879
(user,1389) -> 1.482929218691909
(get,1389) -> 1.886864822465981
(much,1389) -> 1.5782801652566851
(closer,1389) -> 2.068220837249406
(machine,1389) -> 1.4432004161188394
(code,1389) -> 1.510854884604167
(order,1389) -> 1.4617061920687835
(write,1389) -> 1.7423129688197903
(faster,1389) -> 1.7210899421966646
(running,1389) -> 1.7084937552335313
(programs,1389) -> 1.3641309144436493
(use,1389) -> 1.320541487687308
(storage,1389) -> 1.396574053985094
(efficiently,1389) -> 1.7025841662467207
(build,1389) -> 1.8675341734734188
(wider,1389) -> 1.9678775053614124
(variety,1389) -> 1.596563054592467
(data,1389) -> 1.3136754810533702
(structures,1389) -> 1.4921029099089966
(convert,1390) -> 1.637862499493219
(programming,1390) -> 1.2435533975924862
(language,1390) -> 1.5121249394549476
(described,1390) -> 1.678539708794089
(applicable,1390) -> 1.4561128175091533
(problems,1390) -> 1.2893469110910099
(conveniently,1390) -> 1.681885314257139
(transformation,1390) -> 2.0142856263462687
(rules,1390) -> 1.8398088523556868
(meant,1390) -> 1.7571428131731344
(patterns,1390) -> 3.1077524987401626
(may,1390) -> 2.209027317150669
(prescribed,1390) -> 1.681885314257139
(associated,1390) -> 1.433710123942514
(skeleton,1390) -> 2.363770628514278
(series,1390) -> 1.421537142967583
(pairs,1390) -> 1.606627815341144
(searched,1390) -> 1.650650630105064
(pattern,1390) -> 1.4814772276988475
(found,1390) -> 1.4248781333570784
(matches,1390) -> 1.681885314257139
(expression,1390) -> 1.490406115765481
(transformed,1390) -> 1.650650630105064
(conditions,1390) -> 1.4136085396732812
(match,1390) -> 1.62642312685305
(governed,1390) -> 1.87642312685305
(code,1390) -> 1.3831411634531254
(also,1390) -> 1.2850511306303252
(allows,1390) -> 1.8272170793465623
(subexpressions,1390) -> 1.7016806257690453
(identified,1390) -> 1.5185821858133033
(eventually,1390) -> 1.8011656279370547
(substituted,1390) -> 1.7571428131731344
(corresponding,1390) -> 1.4873475016612283
(primitive,1390) -> 2.1134694532296856
(skeletons,1390) -> 3.4034968838111643
(well,1390) -> 1.3566278153411437
(principle,1390) -> 1.5626050005772236
(allow,1390) -> 1.4732271626731162
(elaboration,1390) -> 1.87642312685305
(complicated,1390) -> 1.5753931311890688
(advantages,1390) -> 1.4607336689326564
(one,1390) -> 1.2564213911137623
(apply,1390) -> 1.681885314257139
(lists,1390) -> 1.490406115765481
(arrays,1390) -> 1.5313703164251486
(easily,1390) -> 1.463119998409214
(strings,1390) -> 1.4453541594528527
(defined,1390) -> 1.389075625191822
(recursively,1390) -> 1.650650630105064
(consequence,1390) -> 1.7016806257690453
(programs,1390) -> 1.273098185832737
(stated,1390) -> 1.62642312685305
(quite,1390) -> 1.5185821858133033
(concisely,1390) -> 1.7571428131731344
(computer,1391) -> 1.243239392094277
(experiments,1391) -> 1.5993741104380879
(finite,1391) -> 2.2414932206173415
(algebra,1391) -> 3.250420002308894
(medium,1391) -> 1.776533749452173
(scale,1391) -> 1.6497966688816375
(programming,1391) -> 1.3247378634566482
(system,1391) -> 1.5343613270482672
(written,1391) -> 1.5397339274132393
(mad,1391) -> 1.9355741676920604
(fap,1391) -> 2.0095237508975123
(ibm,1391) -> 1.5093229673744508
(7094,1391) -> 1.767190841585425
(manipulate,1391) -> 1.8214332740846584
(objects,1391) -> 1.638209300128567
(modern,1391) -> 2.7350683469468375
(groups,1391) -> 1.7423129688197903
(maps,1391) -> 2.6176741742430503
(sets,1391) -> 2.1821991650594876
(subsets,1391) -> 2.6176741742430503
(constant,1391) -> 1.6861781586899935
(integers,1391) -> 1.767190841585425
(truth,1391) -> 2.0095237508975123
(values,1391) -> 1.5454869292270745
(designed,1391) -> 1.5171499993242916
(operate,1391) -> 1.7146548904648689
(time,1391) -> 1.307497911147859
(sharing,1391) -> 1.5665041778094375
(environment,1391) -> 1.568783985986206
(serve,1391) -> 1.7423129688197903
(teacher,1391) -> 1.9355741676920604
(aid,1391) -> 1.6458302611150684
(undergraduate,1391) -> 1.8352308358040665
(student,1391) -> 1.6668475096974313
(well,1391) -> 1.4755037537881917
(working,1391) -> 1.6419696369317967
(scientist,1391) -> 2.0095237508975123
(engineer,1391) -> 2.0095237508975123
(wishing,1391) -> 2.0095237508975123
(familiarize,1391) -> 2.1685641691374
(subset,1391) -> 1.6861781586899935
(experience,1392) -> 1.4814772276988475
(formac,1392) -> 3.6026025204202563
(algorithm,1392) -> 1.1071720451547125
(design,1392) -> 1.9602874192647528
(various,1392) -> 1.3584526250265188
(facets,1392) -> 1.8011656279370547
(implementation,1392) -> 1.6677153960086213
(mathematical,1392) -> 1.8365917973529817
(expression,1392) -> 2.4712183472964435
(manipulation,1392) -> 1.410592411822936
(algorithms,1392) -> 1.9253881756567757
(discussed,1392) -> 1.265411927873531
(concrete,1392) -> 1.7571428131731344
(examples,1392) -> 1.366074955563494
(provided,1392) -> 1.4283252044784867
(expand,1392) -> 1.6651486168494858
(differentiation,1392) -> 1.5824003120891297
(basic,1392) -> 1.3753427834073895
(utility,1392) -> 1.5359911678486518
(routine,1392) -> 1.4935533975924862
(experiment,1392) -> 1.5979372887763408
(extraction,1392) -> 1.637862499493219
(skeletal,1392) -> 1.8011656279370547
(structure,1392) -> 1.3220521407995736
(one,1392) -> 1.2564213911137623
(recurrent,1392) -> 1.87642312685305
(theme,1392) -> 1.8011656279370547
(need,1392) -> 1.4199044261778435
(avoid,1392) -> 1.606627815341144
(excessive,1392) -> 1.7259081290210594
